Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
LCP2	244598_at	0.04585	0.00180623	3.767316	-1.137859	1.48903684	lymphocyte cytosolic protein 2
	243906_at	0.04585	0.00180806	3.7668245	-1.1388	1.24710738	
FANCI	213008_at	0.04585	0.00180745	-3.766988	-1.138487	-1.97014762	Fanconi anemia complementation group I
LOC101927266///IFT122	220744_s_at	0.04585	0.00180748	-3.7669815	-1.1385	-2.26443263	intraflagellar transport protein 122 homolog///intraflagellar transport 122
	1562610_at	0.04578	0.00179972	3.7690629	-1.134512	2.26707023	
DAGLB	225828_at	0.04578	0.00180112	3.7686874	-1.135231	1.55330527	diacylglycerol lipase beta
SDF4	217855_x_at	0.04578	0.00180112	-3.768686	-1.135234	-1.0739471	stromal cell derived factor 4
NUCKS1	222424_s_at	0.04575	0.00179745	-3.7696736	-1.133342	-1.21165446	nuclear casein kinase and cyclin dependent kinase substrate 1
	237524_at	0.04574	0.00179528	3.7702591	-1.13222	1.27930901	
C19orf70	225823_at	0.04574	0.00179595	-3.7700787	-1.132566	-1.02188551	chromosome 19 open reading frame 70
C12orf10	218220_at	0.04573	0.00179396	-3.7706151	-1.131538	-1.59643541	chromosome 12 open reading frame 10
GUF1	222770_s_at	0.04572	0.00179292	-3.770896	-1.131	-1.22694548	"GUF1 homolog, GTPase"
ACP6	242270_at	0.04571	0.00179167	3.7712328	-1.130355	1.23148483	"acid phosphatase 6, lysophosphatidic"
CBL	225231_at	0.0457	0.00179043	3.7715685	-1.129712	1.45903356	Cbl proto-oncogene
DLEC1	207896_s_at	0.0456	0.00178312	3.7735485	-1.125918	2.62922634	deleted in lung and esophageal cancer 1
SLC11A1	1555116_s_at	0.0456	0.00178234	3.7737598	-1.125514	2.5022247	solute carrier family 11 member 1
LOC100506691	241386_at	0.0456	0.00178216	-3.773809	-1.125419	-2.02705748	uncharacterized LOC100506691
ARL17B///ARL17A	1555794_at	0.04555	0.00177858	3.774783	-1.123553	3.07708958	ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A
	AFFX-r2-Bs-lys-3_at	0.04554	0.00177733	3.7751239	-1.1229	3.12926221	
C1orf101	240771_at	0.04554	0.00177498	3.7757651	-1.121672	2.15313571	chromosome 1 open reading frame 101
AGO4	222842_at	0.04554	0.00177616	3.7754416	-1.122292	1.78695981	"argonaute 4, RISC catalytic component"
