Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
TMEM97	212281_s_at	0.04035	0.00128666	-3.9317711	-0.82316	-1.93092584	transmembrane protein 97
PFKFB3	202464_s_at	0.04031	0.00128149	3.933726	-0.819424	2.4011392	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
UBASH3B	238587_at	0.04031	0.00128122	3.9338268	-0.819232	1.19612532	ubiquitin associated and SH3 domain containing B
ICMT	201611_s_at	0.04031	0.00128197	-3.9335438	-0.819773	-1.0888288	isoprenylcysteine carboxyl methyltransferase
ACYP1	205260_s_at	0.04031	0.00127998	-3.9342976	-0.818332	-1.14330172	acylphosphatase 1
GUF1	218884_s_at	0.04031	0.00128139	-3.9337622	-0.819355	-1.65804284	"GUF1 homolog, GTPase"
SNTB2	205315_s_at	0.04022	0.00127488	3.9362393	-0.814623	1.09108716	syntrophin beta 2
EMD	209477_at	0.04022	0.00127371	-3.9366822	-0.813777	-1.17685788	emerin
RNASEH2A	203022_at	0.04022	0.00127551	-3.9359967	-0.815086	-1.50123734	ribonuclease H2 subunit A
LMAN1	224629_at	0.04022	0.00127535	-3.9360572	-0.814971	-1.51272614	"lectin, mannose binding 1"
LST1	211582_x_at	0.04018	0.00127134	3.9375879	-0.812046	1.84161136	leukocyte specific transcript 1
TOR1B	209593_s_at	0.04018	0.0012705	3.9379076	-0.811436	1.28202381	torsin family 1 member B
HPR///HP	208470_s_at	0.04011	0.00126756	3.9390345	-0.809283	3.81462222	haptoglobin-related protein///haptoglobin
SLC31A2	204204_at	0.04011	0.0012676	3.9390207	-0.809309	1.85785676	solute carrier family 31 member 2
NDUFAF3	209177_at	0.04011	0.00126697	-3.939261	-0.80885	-1.1368613	NADH:ubiquinone oxidoreductase complex assembly factor 3
HELLS	220085_at	0.04009	0.00126449	-3.9402112	-0.807035	-2.15879848	"helicase, lymphoid-specific"
ALOX5AP	204174_at	0.04	0.00126003	3.9419302	-0.803751	2.33960062	arachidonate 5-lipoxygenase activating protein
EI24	208289_s_at	0.04	0.00125906	-3.9423051	-0.803035	-1.18901986	"EI24, autophagy associated transmembrane protein"
VKORC1	217949_s_at	0.04	0.00126056	-3.9417244	-0.804144	-1.52048476	vitamin K epoxide reductase complex subunit 1
PAXBP1	221158_at	0.03995	0.00125616	3.9434252	-0.800896	1.29374983	PAX3 and PAX7 binding protein 1
WDR74	221712_s_at	0.03992	0.00125433	-3.9441323	-0.799545	-1.21734075	WD repeat domain 74
NIPSNAP1	201709_s_at	0.03989	0.00125204	-3.9450187	-0.797852	-1.13381948	nipsnap homolog 1 (C. elegans)
MTMR2	203211_s_at	0.03989	0.00125285	-3.9447053	-0.79845	-1.37487157	myotubularin related protein 2
BMP2	205289_at	0.03984	0.00124943	3.9460353	-0.79591	2.19340882	bone morphogenetic protein 2
	1556287_a_at	0.03984	0.00124961	3.9459661	-0.796042	1.91673708	
SVIP	230285_at	0.03984	0.00124809	3.9465545	-0.794918	1.26275124	small VCP interacting protein
YBX3	201161_s_at	0.03982	0.00124652	-3.9471673	-0.793748	-2.0231353	Y-box binding protein 3
NFIA	224976_at	0.03982	0.00124681	-3.9470524	-0.793967	-2.46431653	nuclear factor I A
PXN-AS1	227332_at	0.03982	0.0012457	-3.947486	-0.793139	-2.64030684	PXN antisense RNA 1
	1568878_at	0.03977	0.00124245	3.9487571	-0.790711	2.80869218	
VDAC3	208845_at	0.03977	0.00124215	-3.9488732	-0.79049	-1.49409349	voltage dependent anion channel 3
TANC1	225308_s_at	0.03977	0.0012416	-3.9490895	-0.790076	-2.48933293	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
	241692_at	0.03976	0.00123992	3.9497482	-0.788818	1.46282301	
DDX1	201241_at	0.03976	0.00123906	-3.9500855	-0.788174	-1.48948764	DEAD/H-box helicase 1
LOC647115	231698_at	0.03974	0.00123794	3.9505228	-0.787339	2.56923814	translation initiation factor IF-2
TTC39C	227881_s_at	0.03974	0.00123763	3.9506433	-0.787109	1.34196631	tetratricopeptide repeat domain 39C
WSB1	210561_s_at	0.03966	0.00123328	3.9523564	-0.783837	1.25796097	WD repeat and SOCS box containing 1
MRPL4	223743_s_at	0.03966	0.0012339	-3.952111	-0.784306	-1.377077	mitochondrial ribosomal protein L4
FAM83D	225687_at	0.03966	0.00123349	-3.9522726	-0.783997	-1.47191057	family with sequence similarity 83 member D
IFT74	219174_at	0.03966	0.00123297	-3.9524769	-0.783607	-2.32359012	intraflagellar transport 74
CKAP4	200999_s_at	0.03965	0.00123013	3.9535975	-0.781467	2.35282487	cytoskeleton associated protein 4
RNF150	232501_at	0.03965	0.00122544	3.9554541	-0.777922	2.26086818	ring finger protein 150
SAMSN1	220330_s_at	0.03965	0.00123077	3.953347	-0.781946	2.06152588	"SAM domain, SH3 domain and nuclear localization signals 1"
LST1	215633_x_at	0.03965	0.00122308	3.9563908	-0.776133	1.94844008	leukocyte specific transcript 1
NOX1	206418_at	0.03965	0.00122803	3.9544301	-0.779877	1.49303725	NADPH oxidase 1
UCP2	208997_s_at	0.03965	0.00122773	-3.9545499	-0.779648	-1.0754336	uncoupling protein 2
KATNB1	203163_at	0.03965	0.00122955	-3.953827	-0.781029	-1.23981995	katanin regulatory subunit B1
ZNF32	209538_at	0.03965	0.00122779	-3.9545246	-0.779697	-1.28297906	zinc finger protein 32
CALR	212953_x_at	0.03965	0.00122958	-3.9538167	-0.781049	-1.57657647	calreticulin
BIRC5	202095_s_at	0.03965	0.00122828	-3.9543318	-0.780065	-1.66011289	baculoviral IAP repeat containing 5
CHAC2	235117_at	0.03965	0.00122651	-3.9550304	-0.778731	-2.02993098	ChaC cation transport regulator homolog 2
RBPMS2	228802_at	0.03965	0.00122802	-3.9544341	-0.779869	-3.00326749	RNA binding protein with multiple splicing 2
ZIC2	223642_at	0.03963	0.00122002	3.9576105	-0.773804	2.82867398	Zic family member 2
LILRB2	207697_x_at	0.03963	0.00121966	3.9577552	-0.773528	2.17944578	leukocyte immunoglobulin like receptor B2
NCL	200610_s_at	0.03963	0.00121924	-3.9579207	-0.773212	-1.23197079	nucleolin
PAQR5	242871_at	0.03956	0.00121109	3.9611819	-0.766985	2.82523238	progestin and adipoQ receptor family member 5
OPRK1	229944_at	0.03956	0.00121296	3.9604312	-0.768418	2.68839388	opioid receptor kappa 1
PPP1R3D	204554_at	0.03956	0.00121188	3.9608635	-0.767593	1.87904566	protein phosphatase 1 regulatory subunit 3D
	237112_at	0.03956	0.00121211	3.9607733	-0.767765	1.75327765	
LOC339988	1562698_x_at	0.03956	0.00121429	3.9598999	-0.769432	1.64211862	uncharacterized LOC339988
GNAI3	201181_at	0.03956	0.00121054	3.9614012	-0.766566	1.63033202	G protein subunit alpha i3
PTPRC	1569830_at	0.03956	0.00121355	3.9601943	-0.76887	1.46587852	"protein tyrosine phosphatase, receptor type C"
MAD2L1	203362_s_at	0.03956	0.00121567	-3.9593462	-0.77049	-1.68561084	MAD2 mitotic arrest deficient-like 1 (yeast)
NT5M	219708_at	0.03956	0.00121307	-3.9603886	-0.768499	-2.83391608	"5',3'-nucleotidase, mitochondrial"
GSR	225609_at	0.03945	0.00120403	3.9640228	-0.76156	1.21876114	glutathione-disulfide reductase
GPX4	201106_at	0.03945	0.00120355	-3.9642173	-0.761189	-1.12701671	glutathione peroxidase 4
NASP	201970_s_at	0.03945	0.00120508	-3.9635987	-0.76237	-1.75662302	nuclear autoantigenic sperm protein
SEC14L1P1	217667_at	0.03941	0.00120079	-3.9653334	-0.759058	-1.74498581	SEC14 like 1 pseudogene 1
LOC101930123///EEF2K	225546_at	0.0394	0.00119997	-3.9656651	-0.758425	-1.36051139	eukaryotic elongation factor 2 kinase///eukaryotic elongation factor 2 kinase
SKAP2	216899_s_at	0.03939	0.00119886	3.9661161	-0.757564	1.42903964	src kinase associated phosphoprotein 2
COPS7B	225696_at	0.03939	0.00119848	-3.9662679	-0.757274	-1.78873821	COP9 signalosome subunit 7B
ELMO2	220363_s_at	0.03938	0.00119709	3.9668321	-0.756197	2.22152971	engulfment and cell motility 2
SPAG1	210117_at	0.03938	0.00119583	3.967344	-0.75522	2.14771892	sperm associated antigen 1
TUBA1B	201090_x_at	0.03938	0.00119715	-3.966809	-0.756241	-1.1949795	tubulin alpha 1b
FAXDC2	48030_i_at	0.03931	0.00119157	-3.9690811	-0.751904	-2.05832934	fatty acid hydroxylase domain containing 2
IGHM	216491_x_at	0.03931	0.00119192	-3.968939	-0.752175	-4.0456829	immunoglobulin heavy constant mu
	1570484_at	0.0393	0.00118887	3.970184	-0.749799	2.35213535	
PPP1R18	224927_at	0.0393	0.00119021	3.9696335	-0.750849	1.53846457	protein phosphatase 1 regulatory subunit 18
FAM168A	36612_at	0.0393	0.00118934	3.9699902	-0.750168	1.37986625	family with sequence similarity 168 member A
RNASEH1	218496_at	0.0393	0.00118997	-3.9697336	-0.750658	-1.12434453	ribonuclease H1
EIF5A	201122_x_at	0.0393	0.00118914	-3.9700713	-0.750014	-1.26524545	eukaryotic translation initiation factor 5A
CA4	206209_s_at	0.03928	0.00118599	3.9713636	-0.747547	2.89834233	carbonic anhydrase 4
SUCLG2	214835_s_at	0.03928	0.00118603	-3.9713446	-0.747583	-1.18228002	succinate-CoA ligase GDP-forming beta subunit
HTRA3	228580_at	0.03927	0.00118442	3.9720054	-0.746322	1.98930834	HtrA serine peptidase 3
MAGEH1	218573_at	0.03927	0.00118378	-3.9722676	-0.745821	-2.92190454	MAGE family member H1
PPM1B	209296_at	0.03921	0.0011806	3.973578	-0.74332	1.25836576	"protein phosphatase, Mg2+/Mn2+ dependent 1B"
MADCAM1	208037_s_at	0.03921	0.00117937	3.9740823	-0.742357	1.18267982	mucosal vascular addressin cell adhesion molecule 1
NPM1	221923_s_at	0.03921	0.00118024	-3.9737246	-0.74304	-1.2718808	nucleophosmin
LAP3	217933_s_at	0.03921	0.00118003	-3.9738105	-0.742876	-1.59783013	leucine aminopeptidase 3
ZNF391	215523_at	0.03921	0.00118126	-3.9733041	-0.743843	-2.29161457	zinc finger protein 391
PPP1R12A	201602_s_at	0.03919	0.00117689	3.9751064	-0.740403	1.19331211	protein phosphatase 1 regulatory subunit 12A
NDRG2	214278_s_at	0.03918	0.00117585	3.9755372	-0.73958	1.53520792	NDRG family member 2
EIF2AK1	217736_s_at	0.03918	0.0011754	-3.9757248	-0.739222	-1.12705119	eukaryotic translation initiation factor 2 alpha kinase 1
DEPDC1B	226980_at	0.03916	0.00117403	-3.9762902	-0.738143	-2.88415812	DEP domain containing 1B
FLI1	237722_at	0.03908	0.00117094	3.9775739	-0.735693	2.41770855	"Fli-1 proto-oncogene, ETS transcription factor"
LIN7A	227929_at	0.03906	0.00116722	3.9791198	-0.732743	2.3798549	"lin-7 homolog A, crumbs cell polarity complex component"
MFAP3	1552312_a_at	0.03906	0.00116924	3.9782802	-0.734345	1.87399379	microfibrillar associated protein 3
SVIL	202566_s_at	0.03906	0.00116485	3.9801074	-0.730858	1.69116161	supervillin
	241400_at	0.03906	0.00116907	3.9783518	-0.734208	1.29471184	
AGTPBP1	204500_s_at	0.03906	0.00116891	3.9784147	-0.734088	1.27227322	ATP/GTP binding protein 1
EIF2D	218253_s_at	0.03906	0.00116622	-3.9795375	-0.731946	-1.23105972	eukaryotic translation initiation factor 2D
NOP16	214011_s_at	0.03906	0.00116433	-3.9803272	-0.730438	-1.71627252	NOP16 nucleolar protein
NDUFAF2	228355_s_at	0.03906	0.00116519	-3.9799662	-0.731127	-1.73997745	NADH:ubiquinone oxidoreductase complex assembly factor 2
CEP85	227818_at	0.03906	0.00116934	-3.9782382	-0.734425	-2.1001374	centrosomal protein 85
MPL	207550_at	0.03906	0.00116564	-3.9797774	-0.731488	-2.11662923	"MPL proto-oncogene, thrombopoietin receptor"
FLVCR1	222906_at	0.03902	0.00116109	3.9816829	-0.727851	1.38684627	feline leukemia virus subgroup C cellular receptor 1
ACAT1	205412_at	0.03895	0.0011582	-3.9828922	-0.725543	-1.14200598	acetyl-CoA acetyltransferase 1
CFP	206380_s_at	0.0389	0.00114519	3.9883868	-0.715059	3.18394098	complement factor properdin
HOXD10	229400_at	0.0389	0.00114251	3.9895265	-0.712884	2.81385097	homeobox D10
LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW	1559342_a_at	0.0389	0.00114244	3.9895593	-0.712822	2.67991191	"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"
	215494_at	0.0389	0.00115585	3.9838817	-0.723655	2.65694954	
UBE2E1	238958_at	0.0389	0.0011538	3.9847452	-0.722008	2.54975479	ubiquitin conjugating enzyme E2 E1
MMP16	208167_s_at	0.0389	0.00115612	3.9837687	-0.723871	2.36242208	matrix metallopeptidase 16
LIN7A	240027_at	0.0389	0.0011453	3.9883396	-0.715149	2.2193107	"lin-7 homolog A, crumbs cell polarity complex component"
LOC286382	240545_at	0.0389	0.00115323	3.9849857	-0.721549	2.20289856	uncharacterized LOC286382
GAS7	211067_s_at	0.0389	0.00114706	3.9875952	-0.71657	1.69024312	growth arrest specific 7
LOC100134822	231886_at	0.0389	0.00115327	3.9849667	-0.721585	1.68569974	uncharacterized LOC100134822
MR1	210224_at	0.0389	0.00115208	3.9854713	-0.720622	1.21054284	"major histocompatibility complex, class I-related"
RAD23A	201039_s_at	0.0389	0.00114847	-3.9869975	-0.71771	-1.27657898	"RAD23 homolog A, nucleotide excision repair protein"
PIGW	1558292_s_at	0.0389	0.00115331	-3.98495	-0.721617	-1.36240964	phosphatidylinositol glycan anchor biosynthesis class W
NADK2	226946_at	0.0389	0.00115284	-3.9851507	-0.721234	-1.55734122	"NAD kinase 2, mitochondrial"
MIR1908///FADS1	208963_x_at	0.0389	0.00115306	-3.9850561	-0.721414	-1.67598446	microRNA 1908///fatty acid desaturase 1
TRAK2	202125_s_at	0.0389	0.00114553	-3.9882416	-0.715336	-1.80619075	trafficking kinesin protein 2
DECR1	202447_at	0.0389	0.00115456	-3.9844247	-0.722619	-1.80849037	"2,4-dienoyl-CoA reductase 1, mitochondrial"
SDF2L1	218681_s_at	0.0389	0.00115347	-3.984884	-0.721743	-1.85879756	stromal cell derived factor 2 like 1
CCDC167	225723_at	0.0389	0.00115504	-3.9842224	-0.723005	-2.11556632	coiled-coil domain containing 167
SLC37A4	202830_s_at	0.0389	0.00114463	-3.9886252	-0.714604	-2.31945879	solute carrier family 37 member 4
GYPB	214407_x_at	0.0389	0.00115596	-3.9838346	-0.723745	-2.92787032	glycophorin B (MNS blood group)
	AFFX-LysX-M_at	0.03887	0.00113614	3.9922463	-0.707695	3.44170974	
	AFFX-r2-Bs-lys-5_at	0.03887	0.00113897	3.9910375	-0.710002	3.42568744	
FOLR3	206371_at	0.03887	0.0011305	3.9946704	-0.703071	3.12505979	folate receptor 3
	AFFX-LysX-5_at	0.03887	0.00113026	3.9947735	-0.702874	3.0681538	
TCP11L2	1565525_a_at	0.03887	0.00113666	3.9920251	-0.708117	2.35366204	t-complex 11 like 2
RAD21L1	234662_at	0.03887	0.00113381	3.9932462	-0.705788	2.20464025	RAD21 cohesin complex component like 1
	1570098_at	0.03887	0.00113947	3.990824	-0.710409	2.0346062	
FYB	205285_s_at	0.03887	0.00113969	3.9907297	-0.710589	1.94977916	FYN binding protein
CDKN2D	213586_at	0.03887	0.00113941	3.9908507	-0.710358	1.63904379	cyclin dependent kinase inhibitor 2D
SLC6A6	228754_at	0.03887	0.00113321	3.9935044	-0.705295	1.5718299	solute carrier family 6 member 6
PLCL2	216218_s_at	0.03887	0.00113401	3.9931587	-0.705955	1.25002958	phospholipase C like 2
BID	204493_at	0.03887	0.0011305	3.9946705	-0.703071	1.23674462	BH3 interacting domain death agonist
RPS6KA4	204632_at	0.03887	0.0011356	-3.9924782	-0.707253	-1.07002848	ribosomal protein S6 kinase A4
DHX30	212674_s_at	0.03887	0.00113341	-3.9934158	-0.705464	-1.17445481	DEAH-box helicase 30
PARP2	204752_x_at	0.03887	0.00113247	-3.9938224	-0.704689	-1.3120549	poly(ADP-ribose) polymerase 2
CLGN	205830_at	0.03887	0.00113679	-3.9919693	-0.708224	-1.59162929	calmegin
WDR90	227894_at	0.03887	0.00113641	-3.9921339	-0.70791	-1.78170944	WD repeat domain 90
HACD3	222404_x_at	0.03887	0.00113304	-3.993577	-0.705157	-1.89169696	3-hydroxyacyl-CoA dehydratase 3
TRAF4	202871_at	0.03887	0.00113739	-3.9917129	-0.708713	-2.14610274	TNF receptor associated factor 4
NUDT6	220183_s_at	0.03887	0.0011359	-3.9923488	-0.7075	-2.33548655	nudix hydrolase 6
ANXA1	201012_at	0.03882	0.00112407	3.9974453	-0.697777	1.93012015	annexin A1
	1570005_at	0.03882	0.00112351	3.9976855	-0.697319	1.84035625	
LST1	210629_x_at	0.03873	0.00112004	3.9991934	-0.694443	1.87211306	leukocyte specific transcript 1
DGKE	238694_at	0.03873	0.00111982	-3.9992862	-0.694266	-2.84217333	diacylglycerol kinase epsilon
RUVBL2	1559946_s_at	0.03866	0.00111645	-4.0007546	-0.691465	-1.45265483	RuvB like AAA ATPase 2
CPXM1	227860_at	0.03866	0.0011164	-4.0007769	-0.691422	-2.82522905	"carboxypeptidase X, M14 family member 1"
CBL	225234_at	0.03865	0.00111342	4.0020758	-0.688945	1.21733798	Cbl proto-oncogene
TRAP1	201391_at	0.03865	0.001114	-4.0018221	-0.689429	-1.59333636	TNF receptor associated protein 1
HNRNPC	235500_at	0.03865	0.00111479	-4.0014786	-0.690084	-2.86084482	heterogeneous nuclear ribonucleoprotein C (C1/C2)
PTX3	206157_at	0.03863	0.00111202	4.0026883	-0.687777	2.71883604	pentraxin 3
ABHD14A-ACY1///ACY1	202740_at	0.03862	0.00111097	-4.0031477	-0.686901	-1.75755542	ABHD14A-ACY1 readthrough///aminoacylase 1
ACAP3	225529_at	0.03855	0.00110846	-4.0042489	-0.6848	-1.70367508	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
DLAT	213149_at	0.03854	0.00110752	-4.0046596	-0.684017	-1.0995176	dihydrolipoamide S-acetyltransferase
CALM3///CALM2///CALM1	200655_s_at	0.0385	0.00110503	4.0057587	-0.681921	1.17290975	calmodulin 3///calmodulin 2///calmodulin 1
YWHAE	210996_s_at	0.0385	0.0011054	-4.0055959	-0.682231	-1.08318755	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
PRMT6	223275_at	0.03846	0.00110306	-4.0066243	-0.68027	-2.19476572	protein arginine methyltransferase 6
	237435_at	0.03844	0.00110125	4.0074242	-0.678745	2.90102249	
CAPNS2	223832_s_at	0.03844	0.00109973	4.0080954	-0.677465	2.40448189	calpain small subunit 2
SYNE1	244144_at	0.03844	0.00110174	4.0072101	-0.679153	2.21197394	spectrin repeat containing nuclear envelope protein 1
PCDHB7	231738_at	0.03844	0.00109925	4.0083079	-0.677059	2.11962768	protocadherin beta 7
C21orf2	203994_s_at	0.03844	0.00109881	-4.0085023	-0.676689	-1.72254612	chromosome 21 open reading frame 2
RHD///RHCE	216317_x_at	0.03844	0.00110107	-4.0075062	-0.678588	-2.54181304	Rh blood group D antigen///Rh blood group CcEe antigens
RNASEH2B	219056_at	0.0384	0.00109627	-4.00963	-0.674538	-1.41493877	ribonuclease H2 subunit B
SERPINA1	211428_at	0.03839	0.00109509	4.0101572	-0.673533	2.49238012	serpin family A member 1
CD55	201925_s_at	0.03839	0.00108983	4.0124978	-0.66907	1.88830146	CD55 molecule (Cromer blood group)
	1570284_x_at	0.03839	0.00109402	4.010629	-0.672633	1.88588427	
DOK3	223553_s_at	0.03839	0.00109093	4.0120058	-0.670008	1.68329717	docking protein 3
DR1	216652_s_at	0.03839	0.00109447	4.0104315	-0.67301	1.38453718	down-regulator of transcription 1
MAX	210734_x_at	0.03839	0.00109029	4.012293	-0.66946	1.16655978	MYC associated factor X
CXorf38	230532_at	0.03839	0.00109534	4.0100448	-0.673747	1.05268645	chromosome X open reading frame 38
USP6NL	238164_at	0.03839	0.00109144	-4.0117819	-0.670435	-1.03257558	USP6 N-terminal like
EIF3CL///EIF3C	210949_s_at	0.03839	0.00108798	-4.0133268	-0.667489	-1.1634817	eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C
CDK1	203213_at	0.03839	0.00108874	-4.012985	-0.668141	-2.19270891	cyclin dependent kinase 1
HBA2///HBA1	211745_x_at	0.03839	0.00109212	-4.0114778	-0.671015	-2.43861638	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
CDC42BPA	214464_at	0.03839	0.00109327	-4.0109658	-0.671991	-2.57207462	CDC42 binding protein kinase alpha
MSRB1	217977_at	0.03837	0.00108554	4.0144209	-0.665403	2.46487224	methionine sulfoxide reductase B1
PAK3	229201_at	0.03837	0.00108379	4.0152056	-0.663907	2.24102243	p21 (RAC1) activated kinase 3
AMPD3	207992_s_at	0.03837	0.00108562	4.0143845	-0.665472	1.66386615	adenosine monophosphate deaminase 3
APC	203526_s_at	0.03837	0.00108472	4.0147848	-0.664709	1.11642135	"APC, WNT signaling pathway regulator"
GMPS	229333_at	0.03837	0.00108371	-4.0152398	-0.663842	-1.43464373	guanine monophosphate synthase
PTPN12	216915_s_at	0.03836	0.0010804	4.0167297	-0.661001	2.2664615	"protein tyrosine phosphatase, non-receptor type 12"
NAV2	218330_s_at	0.03836	0.00108143	4.016266	-0.661885	1.51004606	neuron navigator 2
	1556239_a_at	0.03836	0.00108141	4.0162756	-0.661867	1.48460523	
	1561597_x_at	0.03836	0.00108199	4.0160145	-0.662365	1.42324763	
FAM101B	226905_at	0.03833	0.00107822	4.0177109	-0.65913	2.04038829	family with sequence similarity 101 member B
ABCA13	1553295_at	0.03831	0.00107476	4.0192783	-0.656142	4.47820959	ATP binding cassette subfamily A member 13
ORM2///ORM1	205041_s_at	0.03831	0.00107257	4.0202697	-0.654252	4.14951999	orosomucoid 2///orosomucoid 1
IRAK3	213817_at	0.03831	0.00107501	4.0191635	-0.656361	1.70038298	interleukin 1 receptor associated kinase 3
TP73-AS1	213340_s_at	0.03831	0.0010721	-4.0204824	-0.653847	-1.11604949	TP73 antisense RNA 1
LAGE3	219061_s_at	0.03831	0.00107518	-4.0190884	-0.656504	-1.13995173	L antigen family member 3
LARS	222427_s_at	0.03831	0.00107319	-4.0199894	-0.654786	-1.39137809	leucyl-tRNA synthetase
KTN1	214709_s_at	0.03831	0.00107242	-4.0203374	-0.654123	-1.41894804	kinectin 1
HMGN3	209377_s_at	0.03831	0.00107674	-4.018383	-0.657849	-1.80308076	high mobility group nucleosomal binding domain 3
RNA45S5	225767_at	0.03831	0.00107416	-4.0195508	-0.655623	-2.40341888	"RNA, 45S pre-ribosomal 5"
TRIM10	221627_at	0.03831	0.00107693	-4.0182956	-0.658016	-2.47229397	tripartite motif containing 10
HBA2///HBA1	211699_x_at	0.03831	0.00107146	-4.0207757	-0.653288	-2.56311671	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
MYH10	213067_at	0.03831	0.00107639	-4.0185412	-0.657547	-3.14791455	"myosin, heavy chain 10, non-muscle"
MICAL1	218376_s_at	0.03829	0.00106726	4.0226871	-0.649644	1.93013893	"microtubule associated monooxygenase, calponin and LIM domain containing 1"
MTF1	205323_s_at	0.03829	0.00106794	4.0223786	-0.650232	1.05563879	metal regulatory transcription factor 1
	223839_s_at	0.03821	0.0010643	4.0240414	-0.647062	1.47377493	
OIP5	213599_at	0.03815	0.00106204	-4.0250731	-0.645096	-2.17204785	Opa interacting protein 5
CYCS	244546_at	0.0381	0.00105967	-4.0261607	-0.643023	-1.36006964	"cytochrome c, somatic"
ADARB1	203865_s_at	0.0381	0.0010598	-4.0261022	-0.643134	-3.015775	"adenosine deaminase, RNA specific B1"
ANAPC5	208722_s_at	0.03806	0.00105751	-4.0271546	-0.641128	-1.17473927	anaphase promoting complex subunit 5
VEPH1	229759_s_at	0.03793	0.00105316	4.0291623	-0.637302	3.20291016	ventricular zone expressed PH domain containing 1
UROD	208971_at	0.03793	0.00105269	-4.0293827	-0.636882	-1.84552251	uroporphyrinogen decarboxylase
MYC	202431_s_at	0.03792	0.00105132	-4.0300157	-0.635675	-1.70455223	v-myc avian myelocytomatosis viral oncogene homolog
TCEA1	216241_s_at	0.0379	0.00105024	-4.0305165	-0.634721	-1.31867362	transcription elongation factor A1
SPC24	235572_at	0.0379	0.00104985	-4.0306975	-0.634376	-1.37643099	"SPC24, NDC80 kinetochore complex component"
CDC42EP3	209288_s_at	0.03788	0.00104809	4.0315144	-0.632819	1.90600404	CDC42 effector protein 3
PTPN22	208010_s_at	0.03788	0.0010482	4.0314638	-0.632916	1.76622106	"protein tyrosine phosphatase, non-receptor type 22"
FAM105A	244650_at	0.03788	0.00104736	4.0318552	-0.63217	1.54075372	family with sequence similarity 105 member A
CCDC22	214037_s_at	0.03785	0.00104533	4.0327982	-0.630373	1.14796965	coiled-coil domain containing 22
MKI67	212022_s_at	0.03785	0.00104505	-4.0329261	-0.630129	-1.69475986	marker of proliferation Ki-67
NCF4	207677_s_at	0.03782	0.00104276	4.0339955	-0.628091	2.20780207	neutrophil cytosolic factor 4
ST8SIA2	239537_at	0.03782	0.00103967	4.0354445	-0.62533	1.9749024	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
FPR2	210773_s_at	0.03782	0.00104174	4.0344729	-0.627181	1.80070228	formyl peptide receptor 2
CBL	229010_at	0.03782	0.00104163	4.0345245	-0.627083	1.56759892	Cbl proto-oncogene
LHFPL3-AS1	1554302_s_at	0.03782	0.00104302	4.0338741	-0.628322	1.52279917	LHFPL3 antisense RNA 1
UBR5-AS1	1555888_at	0.03782	0.00103836	4.0360587	-0.62416	1.49644257	UBR5 antisense RNA 1
TMEM92	235245_at	0.03782	0.00104016	4.0352117	-0.625774	1.41808167	transmembrane protein 92
SVIP	230006_s_at	0.03782	0.0010429	4.03393	-0.628216	1.29651139	small VCP interacting protein
N4BP2L2	1565743_at	0.03782	0.00104318	4.0337992	-0.628465	1.13654759	NEDD4 binding protein 2 like 2
YWHAZ	200641_s_at	0.03782	0.00103805	4.0362006	-0.623889	1.08474826	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
RNPC3	229903_x_at	0.03782	0.00103506	4.0376054	-0.621213	1.08320795	"RNA binding region (RNP1, RRM) containing 3"
SUMO3	200740_s_at	0.03782	0.00103981	-4.0353769	-0.625459	-1.08932635	small ubiquitin-like modifier 3
PWP1	201606_s_at	0.03782	0.00104286	-4.0339506	-0.628177	-1.15691935	"PWP1 homolog, endonuclein"
MIR1908///FADS1	208964_s_at	0.03782	0.00104221	-4.0342538	-0.627599	-1.7030705	microRNA 1908///fatty acid desaturase 1
MIR1908///FADS1	208962_s_at	0.03782	0.0010365	-4.036928	-0.622503	-1.8065328	microRNA 1908///fatty acid desaturase 1
MOCS2	218212_s_at	0.03753	0.00102419	-4.0427488	-0.611413	-1.98226514	molybdenum cofactor synthesis 2
TACSTD2	202286_s_at	0.0375	0.00102219	4.0437015	-0.609598	2.58610055	tumor-associated calcium signal transducer 2
NUCKS1	224582_s_at	0.0375	0.00102262	-4.0434966	-0.609989	-1.43742404	nuclear casein kinase and cyclin dependent kinase substrate 1
